,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
5181,7.5,4,2.5,2980,4930,2.0,0.0,0.0,3,9,2890,90,2000,0.0,98006,47.5445,-122.12,2980,6099
20400,2.67,3,2.25,1584,2800,2.0,0.0,0.0,3,7,1584,0,2012,0.0,98002,47.3454,-122.214,1584,2800
13800,6.0,3,1.75,2300,12682,1.0,0.0,2.0,3,8,2300,0,1955,0.0,98028,47.7588,-122.27,2720,14643
19526,5.3,3,3.5,2320,3174,2.0,0.0,0.0,3,9,2060,260,1997,0.0,98033,47.6897,-122.175,2320,3187
1383,2.5,3,1.5,2840,10182,1.0,0.0,0.0,3,8,1510,1330,1951,0.0,98056,47.524,-122.2,2210,9669
16529,2.93,4,2.25,1870,5371,2.0,0.0,0.0,3,7,1870,0,2009,0.0,98038,47.3844,-122.036,2380,4502
4759,3.1,3,1.0,1050,9876,1.0,0.0,0.0,3,7,1050,0,1953,0.0,98028,47.7635,-122.262,1760,9403
2667,1.615,3,1.0,1220,6000,1.0,0.0,0.0,5,7,1220,0,1961,0.0,98002,47.2811,-122.214,1420,13137
16675,9.0,4,2.5,3690,11468,2.0,0.0,0.0,3,11,3690,0,1987,0.0,98027,47.5699,-122.092,3370,10751
13815,4.35,4,2.5,2940,7590,2.0,0.0,0.0,3,9,2940,0,1991,0.0,98058,47.4341,-122.16,2550,8360
3944,3.55,3,1.75,1460,7203,1.0,0.0,0.0,3,7,1460,0,1990,0.0,98056,47.5049,-122.189,1570,7203
15610,3.88,3,1.75,1760,9277,1.0,0.0,0.0,4,7,1760,800,1962,0.0,98146,47.4977,-122.358,1760,7650
3250,4.39,1,1.0,790,2400,1.0,0.0,0.0,3,7,790,0,1918,0.0,98122,47.6178,-122.299,1580,2566
4798,3.548,3,2.0,1370,78408,1.0,0.0,0.0,5,7,1370,0,1964,0.0,98042,47.3867,-122.081,1620,9690
5617,4.77,3,1.75,1780,8085,1.0,0.0,0.0,3,7,1210,570,1976,0.0,98011,47.7357,-122.197,1780,8085
10677,3.4,4,2.5,2550,7555,2.0,0.0,0.0,3,8,2550,0,2001,0.0,98001,47.2614,-122.29,2550,6800
3016,4.85,5,2.0,1910,5508,1.0,0.0,0.0,3,7,1020,890,1968,0.0,98133,47.7074,-122.349,1030,7440
7819,2.99,3,1.0,1510,6200,1.0,0.0,0.0,3,6,1010,500,1955,0.0,98118,47.5293,-122.274,1710,8623
20074,5.515,4,2.5,2950,10003,2.0,0.0,0.0,3,9,2950,0,2006,0.0,98059,47.489,-122.14,2790,9323
16035,4.67,3,1.0,1660,6582,1.0,0.0,0.0,5,7,1000,660,1946,0.0,98133,47.7169,-122.353,1110,6584
2652,9.0,3,2.75,2980,12600,1.5,0.0,0.0,3,8,1590,1390,1941,2012.0,98033,47.674,-122.196,1520,9660
19835,5.15,3,2.5,2610,5845,2.0,0.0,0.0,3,8,2610,0,2005,0.0,98059,47.4821,-122.142,2810,5000
11058,5.27,3,2.25,2240,6450,1.0,0.0,0.0,3,7,1440,800,1979,0.0,98125,47.7034,-122.315,1390,6450
9479,6.45,4,2.5,2430,14400,1.0,0.0,0.0,5,8,1670,760,1963,0.0,98007,47.6202,-122.138,2140,9048
5310,6.82,4,2.75,2820,8009,2.0,0.0,0.0,3,9,2820,0,2001,0.0,98075,47.6,-121.977,2820,7398
21396,3.3495,5,3.0,2230,8642,1.0,0.0,0.0,3,7,1330,900,2014,0.0,98168,47.487,-122.32,2100,11056
11385,4.9995,3,3.5,1820,1501,2.0,0.0,0.0,3,8,1430,390,2014,0.0,98144,47.596,-122.298,1550,1501
8462,6.95,3,2.0,2632,18743,2.0,0.0,3.0,3,10,2632,0,2000,0.0,98070,47.3743,-122.421,1970,14171
19614,8.55169,4,2.5,2970,5050,2.0,0.0,0.0,3,8,2970,0,2014,0.0,98052,47.7043,-122.122,2810,4998
5409,2.9,2,1.0,1620,5400,1.0,0.0,0.0,3,6,920,0,1926,0.0,98125,47.7069,-122.299,1540,7245
15476,3.2,2,1.0,1210,7040,1.0,0.0,0.0,3,7,1210,0,1952,0.0,98155,47.745,-122.297,1210,7205
15448,3.34,2,1.0,890,6000,1.0,0.0,0.0,3,6,890,0,1941,0.0,98118,47.5437,-122.281,1090,5900
15949,1.8,5,1.0,1460,11726,1.5,0.0,0.0,3,6,1290,170,1936,0.0,98146,47.5039,-122.361,1460,10450
11871,9.75,5,4.0,4850,36450,2.0,0.0,0.0,3,10,4850,0,1977,0.0,98005,47.6426,-122.158,3850,35325
3509,3.385,3,1.75,2130,5489,1.0,0.0,0.0,3,8,1370,760,1999,0.0,98070,47.4489,-122.456,1750,7200
4248,1.7,3,0.75,1040,42180,1.0,0.0,0.0,2,6,1040,0,1947,0.0,98055,47.4518,-122.199,1270,24090
11363,5.25,3,1.5,1540,4773,2.0,0.0,0.0,3,8,1540,0,1941,2009.0,98126,47.5678,-122.378,1540,5750
6512,13.4,4,3.5,2980,6349,2.0,0.0,3.0,3,9,2980,0,1998,0.0,98033,47.6819,-122.208,2870,6349
18481,3.01,3,1.0,1060,9241,1.0,0.0,0.0,4,7,1060,0,1956,0.0,98133,47.7465,-122.339,1900,6484
7159,2.37,3,2.0,1290,7952,1.0,0.0,0.0,3,7,1290,0,1998,0.0,98030,47.3867,-122.19,1670,7280
15355,8.25,4,3.0,2910,8027,1.0,0.0,0.0,5,8,1800,1110,1970,0.0,98117,47.6939,-122.391,2390,7660
4270,8.58,5,3.0,3620,12778,1.0,0.0,2.0,5,8,1900,1720,1964,0.0,98006,47.5512,-122.191,2930,10669
5235,10.4,5,2.75,3050,8904,1.0,0.0,0.0,4,8,1650,1400,1956,0.0,98040,47.5709,-122.214,2920,8904
19820,2.85,3,2.5,2437,5136,2.0,0.0,0.0,3,7,2437,0,2011,0.0,98002,47.3517,-122.21,2437,4614
3695,6.325,4,2.0,1770,5000,2.0,0.0,0.0,4,7,1770,0,1906,0.0,98107,47.6748,-122.386,1550,5000
1967,4.39,2,1.0,800,5100,1.0,0.0,0.0,3,7,800,0,1945,0.0,98117,47.6775,-122.388,1330,5100
1516,5.0,3,2.0,1720,5525,1.0,0.0,2.0,5,7,960,760,1941,0.0,98108,47.559,-122.298,1760,5525
3975,2.18,3,1.0,1140,7560,1.0,0.0,0.0,4,6,1140,0,1958,0.0,98058,47.4624,-122.185,1300,7560
434,5.25,4,2.5,2450,5280,2.0,0.0,0.0,3,8,2450,0,2003,0.0,98011,47.7734,-122.224,2300,4674
17857,2.78,4,2.25,2400,7738,1.5,0.0,0.0,3,8,2400,0,1964,0.0,98148,47.4562,-122.33,2170,8452
18779,10.0,3,2.25,3040,52302,1.0,0.0,0.0,3,9,3040,0,2005,0.0,98072,47.7635,-122.112,2070,38600
9042,2.268,2,1.0,1240,11393,1.0,0.0,0.0,4,7,1240,0,1960,0.0,98030,47.3714,-122.207,1660,11393
320,8.199,5,2.75,3150,7119,2.0,0.0,0.0,3,9,3150,0,2013,0.0,98052,47.6759,-122.151,1560,8384
15989,4.75,4,3.0,2410,8284,1.0,0.0,0.0,5,7,1210,1200,1969,0.0,98034,47.7202,-122.22,2050,7940
12864,5.75,4,2.5,2040,5508,2.0,0.0,0.0,4,8,2040,0,1996,0.0,98029,47.5719,-122.007,2130,5496
16271,5.65,4,2.75,3260,4900,2.0,0.0,0.0,3,9,3260,0,2013,0.0,98059,47.4812,-122.123,3260,6132
10196,3.8315,3,2.0,2210,6387,1.0,0.0,0.0,3,8,2210,0,2003,0.0,98003,47.265,-122.302,2570,6497
19473,5.4,2,1.75,1460,4800,1.0,0.0,0.0,5,7,850,610,1950,0.0,98103,47.6928,-122.339,2050,5592
4174,7.9,3,1.75,2050,4080,2.0,0.0,0.0,3,8,2050,0,1991,0.0,98105,47.6698,-122.325,1890,4080
4721,4.24,3,1.75,1430,6818,1.0,0.0,0.0,5,7,1430,0,1972,0.0,98034,47.7271,-122.196,1480,7210
10685,13.3,4,3.0,3370,7920,1.0,0.0,3.0,3,10,1860,0,1988,0.0,98117,47.6773,-122.403,2730,7380
6530,2.8,3,1.0,1370,11050,1.0,0.0,0.0,3,7,1370,0,1981,0.0,98045,47.4485,-121.776,1520,10000
19781,2.82,3,2.5,2010,5399,2.0,0.0,0.0,3,7,2010,0,2006,0.0,98042,47.3338,-122.052,2280,5141
17177,9.9795,4,3.5,4270,117176,2.0,0.0,0.0,3,9,4270,0,2008,0.0,98024,47.5352,-121.883,2610,5251
5601,4.87,2,1.0,1440,4046,1.0,0.0,0.0,3,7,960,480,1946,0.0,98117,47.6901,-122.382,1400,4046
19299,3.16,3,1.75,1120,98445,1.5,0.0,2.0,4,7,1120,0,1917,0.0,98022,47.1853,-122.017,1620,34200
12726,3.2,5,3.0,2970,7000,1.0,0.0,0.0,3,8,1810,1160,1979,0.0,98023,47.3079,-122.341,2630,8062
10882,3.725,3,1.5,1180,12324,1.0,0.0,0.0,3,7,800,380,1981,0.0,98074,47.6337,-122.032,1280,11371
10630,7.38,3,1.0,1280,3900,1.0,0.0,0.0,4,7,1280,0,1921,0.0,98103,47.6545,-122.336,2020,4560
1929,5.988,6,4.0,4470,17877,3.0,0.0,3.0,3,9,3230,1240,2013,0.0,98188,47.4514,-122.273,1790,18260
10570,7.3,3,1.75,2040,11294,1.0,0.0,0.0,4,7,1340,700,1952,0.0,98004,47.5923,-122.197,2120,9587
5897,3.5,3,1.0,1190,3600,1.5,0.0,0.0,3,6,1190,0,1904,0.0,98144,47.5985,-122.298,1680,3600
2786,5.45,2,1.5,1620,3760,2.0,0.0,0.0,5,7,1170,450,1924,0.0,98144,47.6012,-122.291,2130,4000
12983,2.6,5,1.0,1600,7350,1.0,0.0,0.0,5,7,1600,0,1962,0.0,98031,47.3943,-122.196,1600,7725
20476,6.7,2,2.0,1500,761,3.0,0.0,3.0,3,8,1500,0,2008,0.0,98103,47.6522,-122.346,1360,1527
15354,5.3,3,1.75,1690,8190,1.0,0.0,0.0,4,8,1690,0,1958,0.0,98005,47.5857,-122.172,1840,8705
11082,4.5,3,1.75,3150,9258,1.0,0.0,1.0,3,8,2370,780,1970,0.0,98027,47.5571,-122.08,2740,10274
20724,4.97,3,2.25,1460,1353,2.0,0.0,0.0,3,8,1050,410,2012,0.0,98116,47.5774,-122.412,1690,3776
2270,1.83,3,1.75,1070,8100,1.0,0.0,0.0,4,6,1070,0,1957,0.0,98002,47.2853,-122.22,1260,8100
13011,3.05,3,2.25,1740,6650,1.0,0.0,0.0,3,7,1240,500,1978,0.0,98023,47.2979,-122.379,1740,7000
6913,4.35,3,2.5,1470,3000,1.0,0.0,0.0,3,7,930,540,1985,0.0,98115,47.6832,-122.286,1470,5588
8660,4.45,3,1.75,1890,32340,1.5,0.0,3.0,3,8,1890,0,1976,0.0,98070,47.4137,-122.439,1890,40180
2266,4.035,4,2.75,2400,3844,1.0,0.0,0.0,5,7,1200,1200,1974,0.0,98133,47.7027,-122.347,1100,3844
11931,5.71,3,2.5,2510,5186,2.0,0.0,0.0,3,7,2510,0,2001,0.0,98053,47.6895,-122.041,2530,5186
16641,3.95,3,1.0,1460,5000,1.0,0.0,0.0,4,7,1460,0,1934,1960.0,98115,47.6837,-122.32,1790,4000
2972,29.5,4,3.5,4860,23885,2.0,0.0,0.0,3,12,4860,0,1996,0.0,98039,47.6172,-122.23,3580,16054
10016,5.785,3,1.0,1490,5700,1.5,0.0,0.0,3,7,1490,0,1916,0.0,98103,47.6549,-122.331,2290,5700
9699,3.49,3,1.75,1740,7682,1.0,0.0,0.0,3,8,1330,410,1978,0.0,98058,47.4451,-122.126,2010,8820
1163,4.39995,3,1.75,1570,8400,1.0,0.0,0.0,4,7,1570,0,1959,0.0,98133,47.76,-122.34,1860,8639
18056,5.45,2,1.75,1660,5581,1.0,0.0,0.0,3,8,1660,0,2005,0.0,98053,47.713,-122.033,1670,4871
7232,2.3,5,2.0,1210,12538,2.0,0.0,0.0,3,7,1210,0,1982,0.0,98023,47.2848,-122.361,1510,7700
18919,2.79,4,2.5,2040,8076,2.0,0.0,0.0,3,7,2040,0,1994,0.0,98042,47.3691,-122.074,2040,8408
10762,5.15,3,2.5,1790,7167,2.0,0.0,0.0,3,8,1790,0,1989,0.0,98074,47.6176,-122.045,1680,7418
18658,4.75,3,2.5,2680,87117,1.0,0.0,0.0,3,7,1340,1340,1989,0.0,98024,47.5646,-121.935,2580,87117
18915,3.65,3,2.5,1484,1761,3.0,0.0,0.0,3,7,1484,0,2003,0.0,98115,47.6844,-122.317,1484,4320
20974,3.5,2,2.5,1280,940,2.0,0.0,0.0,3,8,1060,220,2006,0.0,98103,47.6904,-122.364,1290,2900
7540,1.65,2,1.0,780,6380,1.0,0.0,0.0,3,6,780,0,1947,0.0,98106,47.5423,-122.351,1270,6960
11655,6.75,4,1.75,1530,3615,1.5,0.0,0.0,4,7,1530,0,1913,0.0,98103,47.6529,-122.334,1650,4200
19183,6.99999,3,0.75,1240,4000,1.0,0.0,0.0,4,7,1240,0,1968,0.0,98112,47.6239,-122.297,1460,4000
19610,8.8,5,3.5,4600,8764,2.0,0.0,0.0,3,10,3180,1420,2007,0.0,98006,47.5491,-122.19,3210,9431
20983,3.535,4,3.0,2050,4000,2.0,0.0,0.0,3,8,2050,0,2014,0.0,98001,47.3523,-122.275,2050,4000
10949,3.6,3,1.0,1280,3870,1.0,0.0,0.0,3,7,640,640,1945,0.0,98122,47.6163,-122.294,1280,4800
7757,4.0745,4,1.5,2310,68824,2.0,0.0,0.0,4,7,2310,0,1968,0.0,98010,47.3354,-122.031,2020,39900
11516,2.65,2,1.0,1290,2828,2.0,0.0,0.0,3,7,1290,0,2008,0.0,98053,47.6968,-122.025,1290,2628
9489,8.75,4,3.5,3790,6874,2.5,0.0,0.0,3,9,3790,0,2010,0.0,98053,47.6956,-122.022,3370,6535
5114,3.1,2,1.0,1050,2699,1.0,0.0,0.0,3,7,1050,0,2005,0.0,98029,47.5471,-121.996,1240,2671
8345,5.32,3,1.0,2360,5012,1.0,0.0,0.0,3,7,1560,800,1964,0.0,98116,47.5705,-122.384,1690,4800
12262,4.8,3,2.25,1950,8892,2.0,0.0,0.0,3,8,1950,0,1983,0.0,98052,47.7213,-122.11,1900,8750
19556,3.73,3,2.0,1400,2445,1.0,0.0,0.0,3,7,840,560,2002,0.0,98144,47.5926,-122.299,1400,3200
14788,2.9,5,2.5,2780,9652,1.0,0.0,0.0,4,8,1390,1390,1967,0.0,98001,47.3444,-122.271,1790,9652
7770,5.85,3,2.5,1700,1156,2.0,0.0,2.0,3,9,1320,380,2002,0.0,98119,47.6373,-122.369,1710,1686
21456,4.02,3,3.5,1240,1666,2.0,0.0,0.0,3,7,1000,240,2008,0.0,98136,47.5496,-122.388,1110,1027
15457,4.0,2,1.0,980,2130,1.0,0.0,0.0,4,6,860,120,1918,0.0,98117,47.6769,-122.366,980,2800
1294,9.25,4,2.5,2190,7350,2.5,0.0,0.0,5,8,2190,0,1958,0.0,98040,47.5786,-122.236,1880,7350
6243,3.325,4,2.0,1440,4855,2.0,0.0,0.0,4,7,1440,0,1972,0.0,98144,47.5717,-122.287,1300,4080
867,4.575,3,2.5,1500,4445,2.0,0.0,0.0,3,8,1500,0,1996,0.0,98029,47.5682,-122.005,1730,4408
4140,7.01,4,3.0,2910,8540,2.0,0.0,0.0,3,9,2910,0,2003,0.0,98059,47.5223,-122.156,3040,6091
10699,3.35,3,2.0,1340,1951,1.0,0.0,0.0,3,6,670,670,1915,0.0,98144,47.5763,-122.309,1520,2248
8833,5.8,3,2.5,2150,4604,2.0,0.0,0.0,3,8,2150,0,2003,0.0,98075,47.5893,-122.019,2280,4253
11379,5.0,3,1.75,1560,16194,1.0,0.0,0.0,3,8,1560,0,1961,0.0,98005,47.5966,-122.175,2430,16193
11649,2.55,4,1.0,1250,9102,1.0,0.0,0.0,3,7,1250,0,1955,0.0,98148,47.4258,-122.327,1260,9180
17375,5.25,3,2.5,2320,9610,1.0,0.0,0.0,3,9,1730,590,1990,0.0,98011,47.7394,-122.204,2450,9608
18282,1.825,2,1.0,1040,13920,1.0,0.0,0.0,3,6,1040,0,1973,0.0,98198,47.3756,-122.306,1100,7575
14230,5.89,3,1.75,920,3600,1.0,0.0,0.0,4,6,820,100,1904,0.0,98119,47.6386,-122.365,1620,3600
20298,2.55,4,2.5,1660,6724,2.0,0.0,0.0,3,7,1660,0,2009,0.0,98001,47.25899999999999,-122.256,1544,6054
12178,6.15,3,1.75,2220,7224,1.0,0.0,2.0,3,8,2040,180,1975,0.0,98177,47.774,-122.384,2540,9990
17433,5.3,4,1.75,1814,5000,1.0,0.0,0.0,4,7,944,870,1951,0.0,98115,47.684,-122.281,1290,5000
21375,2.6995,3,2.5,2244,4079,2.0,0.0,0.0,3,7,2244,0,2012,0.0,98001,47.2606,-122.254,2077,4078
17377,5.0,4,3.0,2570,9104,2.0,0.0,2.0,3,7,2570,0,1930,0.0,98116,47.5821,-122.401,1630,4950
10610,6.925,4,3.0,2820,11500,2.0,0.0,0.0,3,10,2820,0,1991,0.0,98075,47.5826,-122.028,2770,9694
11775,12.8,4,3.5,4340,5500,2.0,0.0,0.0,3,10,2850,1490,2008,0.0,98199,47.6427,-122.397,1290,5500
4674,7.36,4,2.5,2290,12047,2.0,0.0,0.0,4,9,2290,0,1988,0.0,98006,47.5599,-122.105,3130,15666
19842,27.0,4,4.0,7850,89651,2.0,0.0,0.0,3,12,7850,0,2006,0.0,98027,47.5406,-121.982,6210,95832
14389,9.99,5,3.5,2810,2700,2.0,0.0,0.0,5,9,1900,910,1910,0.0,98117,47.6799,-122.363,1510,3800
15589,2.75,3,2.5,1870,6821,2.0,0.0,0.0,3,7,1870,0,1989,0.0,98023,47.3065,-122.358,1970,6821
7578,3.875,4,1.0,1320,4440,1.5,0.0,0.0,3,7,1320,0,1929,0.0,98122,47.6145,-122.295,1260,4440
959,6.5,4,2.0,2208,5000,3.0,0.0,0.0,5,8,2208,0,1917,0.0,98116,47.5711,-122.383,1760,5000
997,1.8995,2,1.0,1030,4188,1.0,0.0,0.0,3,8,1030,0,1981,0.0,98038,47.3738,-122.057,1450,3376
11262,2.05,2,1.0,1060,8000,1.0,0.0,0.0,3,6,1060,0,1941,0.0,98168,47.5088,-122.333,1390,8000
6373,2.8,2,1.0,2280,37500,2.0,0.0,0.0,3,7,2280,0,1932,0.0,98136,47.525,-122.389,2360,6000
4050,5.6,3,2.25,2070,15002,1.5,0.0,0.0,3,8,2070,0,1955,2013.0,98155,47.7635,-122.274,2070,15002
16189,4.3995,3,2.5,1540,7773,2.0,0.0,0.0,4,8,1540,0,1982,0.0,98034,47.722,-122.194,1630,7340
18157,3.39,3,1.75,1150,13278,1.0,0.0,0.0,5,7,1150,0,1966,0.0,98053,47.6384,-121.969,1560,12400
1799,6.15,3,2.5,2250,10171,2.0,0.0,0.0,3,9,2250,0,1987,0.0,98006,47.5613,-122.11,2440,13390
3529,3.1,3,1.75,1840,10723,1.0,0.0,0.0,4,7,1220,620,1974,0.0,98058,47.429,-122.154,1590,9820
10029,5.83,4,2.5,3390,10519,2.0,0.0,2.0,3,10,3390,0,1990,0.0,98003,47.332,-122.334,2830,10519
6895,5.05,3,2.5,2400,9601,1.0,0.0,0.0,5,7,1390,1010,1977,0.0,98034,47.7256,-122.211,2010,9943
1841,7.625,4,2.75,2610,8760,1.0,0.0,0.0,4,8,1760,850,1978,0.0,98040,47.5875,-122.229,2550,10376
1757,5.35,4,2.5,2710,12138,1.0,0.0,0.0,3,8,1700,1010,1968,0.0,98155,47.7657,-122.29,2390,10052
10024,6.89,4,2.5,2110,6069,2.0,0.0,0.0,3,9,2110,0,1999,0.0,98052,47.6374,-122.111,2180,9000
4803,4.375,3,2.25,1790,7700,1.0,0.0,0.0,4,7,1340,450,1976,0.0,98034,47.7205,-122.168,1610,7350
2594,10.7,2,1.75,1890,9466,2.0,0.0,0.0,3,8,1890,0,1987,0.0,98004,47.6144,-122.211,2180,12825
2341,4.59,5,2.5,2650,12987,1.0,0.0,0.0,4,7,1350,1300,1979,0.0,98028,47.7482,-122.244,2160,12726
1181,8.75,3,3.5,3250,6000,2.0,0.0,0.0,3,10,2500,750,2001,0.0,98136,47.5533,-122.391,1650,6000
16494,3.385,4,2.5,2717,4513,2.0,0.0,0.0,3,8,2717,0,2005,0.0,98001,47.3373,-122.266,2550,4841
11743,2.5,3,2.0,1440,5457,2.0,0.0,0.0,3,7,1440,0,1986,0.0,98038,47.3784,-122.046,1480,6286
18408,4.15,4,2.25,2520,4200,1.5,0.0,0.0,4,7,1510,1010,1909,0.0,98144,47.5814,-122.312,1460,4200
16806,2.805,3,1.75,2440,10179,1.0,0.0,0.0,4,7,1220,1220,1962,0.0,98198,47.4118,-122.314,1650,9711
8377,5.1,3,2.25,1420,1309,3.0,0.0,0.0,3,8,1420,0,2006,0.0,98103,47.6534,-122.346,1500,1282
17429,5.6,3,2.5,2430,5128,1.0,0.0,1.0,3,8,1270,1160,1978,0.0,98136,47.5198,-122.389,2510,5330
20389,4.99,3,2.5,1861,1587,2.0,0.0,0.0,3,8,1578,283,2007,0.0,98034,47.7043,-122.209,2090,10454
2583,3.475,4,2.75,2290,7000,2.0,0.0,0.0,3,8,2290,0,1977,0.0,98058,47.4442,-122.129,2000,7200
19354,6.8,3,2.5,1800,4400,1.0,0.0,0.0,5,7,1350,450,1970,0.0,98199,47.6599,-122.396,1920,4400
14090,4.05,2,1.0,1090,10481,1.0,0.0,0.0,2,7,780,310,1981,0.0,98074,47.632,-122.03,1160,10533
7851,4.75,3,2.5,2480,6031,2.0,0.0,0.0,3,8,2480,0,2001,0.0,98155,47.772,-122.297,1850,7704
11601,5.19,2,1.0,830,2820,1.0,0.0,0.0,4,7,830,0,1920,0.0,98103,47.68899999999999,-122.347,1460,3150
8297,2.565,3,2.0,1320,8568,1.0,0.0,0.0,3,7,1320,0,1993,0.0,98042,47.3904,-122.164,1600,8463
11290,3.45,3,1.0,1200,6628,1.0,0.0,0.0,4,7,1200,0,1952,0.0,98155,47.7367,-122.319,1330,6768
6515,4.39,3,2.25,3020,6000,3.0,0.0,2.0,3,8,1980,1040,1994,0.0,98108,47.5249,-122.319,1150,6000
6464,3.2,3,2.0,1550,34175,1.5,0.0,0.0,3,7,1550,0,1999,0.0,98045,47.4855,-121.698,2300,35174
16929,9.2,4,3.5,4080,10666,2.0,0.0,0.0,3,9,4080,0,2005,0.0,98053,47.6818,-122.023,3920,8154
406,4.5,3,2.0,1290,1213,3.0,0.0,0.0,3,8,1290,0,2001,0.0,98103,47.6609,-122.344,1290,3235
17029,5.625,4,2.5,2320,8721,2.0,0.0,0.0,3,8,2320,0,1991,0.0,98034,47.7326,-122.226,2260,8268
9214,4.8,3,1.0,1100,5700,1.0,0.0,0.0,3,7,1100,0,1950,0.0,98115,47.6883,-122.282,1560,6588
20382,5.39,3,2.75,2130,1400,2.0,0.0,0.0,3,9,1080,1050,2010,0.0,98118,47.5661,-122.29,1520,3132
7457,6.5,4,2.5,2400,7351,2.0,0.0,0.0,3,9,2400,0,1990,0.0,98029,47.5707,-122.022,2330,7756
3845,3.5995,4,2.5,3010,5701,2.0,0.0,0.0,3,8,3010,0,2003,0.0,98042,47.3492,-122.152,3010,5772
4915,4.5,3,1.75,1160,6120,1.0,0.0,0.0,3,7,1040,120,1941,0.0,98115,47.6926,-122.287,1530,6120
516,3.08,3,1.0,1980,39150,1.5,0.0,0.0,3,6,1580,400,1932,0.0,98030,47.3818,-122.225,1860,11811
2724,7.49999,5,2.25,3060,13630,2.0,0.0,0.0,3,10,3060,0,1989,0.0,98006,47.5585,-122.117,3430,10700
9686,13.9,4,2.5,3450,17400,1.5,0.0,0.0,4,9,2180,1270,1964,0.0,98004,47.5969,-122.206,3770,19530
3906,4.085,4,2.5,2720,7043,2.0,0.0,0.0,3,9,2720,0,2003,0.0,98092,47.3315,-122.169,2640,6958
7994,4.25,3,1.5,1970,13709,1.0,0.0,0.0,4,7,1680,290,1955,0.0,98155,47.7562,-122.277,2200,16536
8,2.295,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730,1960,0.0,98146,47.5123,-122.337,1780,8113
6779,5.85,4,2.5,2330,45860,2.0,0.0,0.0,3,9,2330,0,1989,0.0,98075,47.5842,-121.992,2930,5020
14859,6.05,3,2.25,1290,2500,2.0,0.0,0.0,4,8,1290,0,1987,0.0,98112,47.6229,-122.298,1700,3750
279,4.05,3,1.75,2390,6000,1.0,0.0,0.0,3,6,1240,1150,1908,0.0,98118,47.5362,-122.268,2020,6000
6218,6.06,3,1.75,1970,8540,1.0,0.0,3.0,4,8,1130,840,1950,0.0,98177,47.7213,-122.365,2280,8540
13570,3.15,3,2.25,1530,7906,1.0,0.0,0.0,3,7,1150,380,1980,0.0,98058,47.4418,-122.136,1460,7875
9262,9.265,4,2.75,2900,17802,1.0,0.0,2.0,3,9,1750,1150,1981,0.0,98034,47.7004,-122.229,2900,15720
21499,9.4299,4,2.5,3570,6218,2.0,0.0,0.0,3,9,3570,0,2014,0.0,98052,47.7046,-122.123,3230,5972
